Cohort,Recovery_Status,Seasoned_12M,Latest_MOB,Latest_Cumulative_MOIC,Months_to_Breakeven,Months_to_Target_1_3x,Collection_Share_Pct,Advance_Share_Pct,Max_Cumulative_MOIC
2024-09,Beyond target,True,17,1.390273471367063,5,7,10.02219279661017,9.083003820678378,1.390273471367063
2024-04,Beyond target,False,11,1.3722471438058195,4,7,8.938382768361581,8.207173087297218,1.3722471438058195
2024-08,Beyond target,True,16,1.3669652443326483,5,6,7.867531779661017,7.251836650705464,1.3669652443326483
2024-10,Beyond target,True,15,1.3314932220882734,5,13,10.841984463276837,10.259750515819388,1.3314932220882734
2024-02,Beyond target,False,8,1.3304970792461148,5,6,3.1969279661016947,3.027512221165557,1.3304970792461148
2024-07,Beyond target,False,9,1.328644126873475,4,7,6.730014124293786,6.38225692532715,1.328644126873475
2024-05,Beyond target,False,9,1.3055759435955605,5,8,5.181850282485876,5.000917630178354,1.3055759435955605
2024-06,Beyond target,True,21,1.3030512107713434,5,21,10.303283898305086,9.962794267314013,1.3030512107713434
2024-03,Recovered,True,12,1.2947936631622605,5,,18.188947740112997,17.70002947539361,1.2947936631622605
2025-09,Recovered,True,12,1.2493589086060108,4,,0.21504237288135591,0.21687216021266773,1.2493589086060108
2024-01,Recovered,False,9,1.1574141531885958,5,,2.1036370056497176,2.2900712414702102,1.1574141531885958
2024-11,Recovered,True,15,1.0430354894672405,12,,11.686987994350282,14.117912697220971,1.0430354894672405
2024-12,Below breakeven,True,15,0.9692677582551535,,,4.5766242937853105,5.949335691364822,0.9692677582551535
2025-10,Below breakeven,False,4,0.6534125348527094,,,0.09516242937853107,0.18350379009070633,0.6534125348527094
2026-01,Below breakeven,False,2,0.1765561549184799,,,0.051430084745762716,0.367029825761494,0.1765561549184799
