Cohort,MOB_0,MOB_1,MOB_2,MOB_3,MOB_4,MOB_5,MOB_6,MOB_7,MOB_8,MOB_9,MOB_10,MOB_11,MOB_12,MOB_13,MOB_14,MOB_15,MOB_16,MOB_17,MOB_18,MOB_19,MOB_20,MOB_21
2024-01,,0.2282578075671475,0.4623342561561999,0.846811404147846,0.9700713973480986,1.0851134100733402,1.1331973383845744,1.1331973383845744,1.1331973383845744,1.1574141531885958,,,,,,,,,,,,
2024-02,0.055255520041147727,0.284845144935523,0.5433630919578236,0.7495719901539366,0.9916896285682795,1.201800213086447,1.304537271758698,1.304537271758698,1.3304970792461148,,,,,,,,,,,,,
2024-03,0.09727460677546455,0.3276931874595464,0.5564402103900511,0.7783351033412302,0.9770242501555303,1.1669961604444081,1.2108513004845003,1.2611890682636537,1.2761287727875426,1.283017350266758,1.286913462323968,1.2911489131732576,1.2947936631622605,,,,,,,,,
2024-04,0.10012874896662013,0.35705476574464334,0.5759795085855232,0.7999593424315936,1.0298833127786737,1.206936181170125,1.2760079688834076,1.3124127556344614,1.3288790708390368,1.3288790708390368,1.3288790708390368,1.3722471438058195,,,,,,,,,,
2024-05,0.08264940726407331,0.3178265607971353,0.5427414870665688,0.7417094815506773,0.9497742487933988,1.1941015546807232,1.2876048130602078,1.2965236538333222,1.3003047085251662,1.3055759435955605,,,,,,,,,,,,
2024-06,0.1354366926795503,0.35422848913152694,0.5898025030422793,0.7840506413906286,0.9721360708264952,1.110910897500307,1.2018644427325809,1.2401960455951144,1.2505788703933192,1.2572774670373223,1.2681738509115674,1.2681738509115674,1.2681738509115674,1.2704067164595685,1.275988880329571,1.2775518862131716,1.2775518862131716,1.2820176173091737,1.2864833484051759,1.2929742885532147,1.2990320527849415,1.3030512107713434
2024-07,0.1404147786685256,0.3769780411293133,0.6078006273963054,0.8398257232485187,1.0318543046357616,1.2562391077030324,1.269306378529104,1.3147926106657373,1.3147926106657373,1.328644126873475,,,,,,,,,,,,
2024-08,0.04537869259793245,0.28850884996472287,0.5404582962667567,0.7605601398815914,0.9791834105340654,1.196815853247032,1.300797570477622,1.3173624957820793,1.323405625939446,1.3287738887695941,1.3287738887695941,1.3287738887695941,1.3287738887695941,1.3362894567318016,1.3546949292923096,1.3577625080523943,1.3669652443326483,,,,,
2024-09,0.07825013592746617,0.3172645026034396,0.544187447649557,0.7895083589268833,0.9887045500188584,1.1654543406170863,1.2978795315278246,1.3162481080366195,1.3395149716144263,1.3502912031662528,1.3576386337697708,1.3576386337697708,1.3682311795565092,1.3780277536945331,1.387824327832557,1.387824327832557,1.387824327832557,1.390273471367063,,,,
2024-10,0.08896713818613888,0.3366015906193355,0.5988239477541392,0.8176295088507471,0.9905898474427802,1.1509960884987989,1.2229902602752796,1.2532957216329434,1.2554639595493535,1.2667518061421843,1.2902099721598252,1.2967146859090555,1.2967146859090555,1.3071222279078238,1.3237742951058533,1.3314932220882734,,,,,,
2024-11,0.08183392448305257,0.2758938546165615,0.449587875942071,0.5913818722139673,0.7191773590970615,0.7907188180997385,0.8369844903953271,0.8821708089165652,0.908388863590167,0.9568762713920828,0.9861212437306879,0.9993224494555172,1.0261755108022041,1.0293269086835193,1.0356297044461498,1.0430354894672405,,,,,,
2024-12,0.10774045670227603,0.2615549714140421,0.42922311256024737,0.5387097618522355,0.5851053885185032,0.6169967730959209,0.6323797202352686,0.6636092716469923,0.6681710595687241,0.7144432936108794,0.7798787760947357,0.8224903622882227,0.8798492366483572,0.9434674823043759,0.9584241640149717,0.9692677582551535,,,,,,
2025-09,0.11898656272438199,0.23294696891988922,0.5880603138783465,0.5880603138783465,1.1303723458816288,1.18986562724382,1.18986562724382,1.18986562724382,1.18986562724382,1.18986562724382,1.18986562724382,1.18986562724382,1.2493589086060108,,,,,,,,,
2025-10,,,0.1818402230573403,0.417020244878167,0.6534125348527094,,,,,,,,,,,,,,,,,
2026-01,,,0.1765561549184799,,,,,,,,,,,,,,,,,,,
