Cohort,MOB_0,MOB_1,MOB_2,MOB_3,MOB_4,MOB_5,MOB_6,MOB_7,MOB_8,MOB_9,MOB_10,MOB_11,MOB_12,MOB_13,MOB_14,MOB_15,MOB_16,MOB_17,MOB_18,MOB_19,MOB_20,MOB_21
2024-01,,0.2282578075671475,0.2340764485890524,0.384477147991646,0.12325999320025256,0.11504201272524163,0.048083928311234155,0.0,0.0,0.024216814804021564,,,,,,,,,,,,
2024-02,0.055255520041147727,0.22958962489437526,0.2585179470223006,0.20620889819611302,0.24211763841434292,0.21011058451816747,0.102737058672251,0.0,0.02595980748741688,,,,,,,,,,,,,
2024-03,0.09727460677546455,0.23041858068408186,0.22874702293050467,0.2218948929511792,0.1986891468143,0.18997191028887786,0.04385514004009225,0.05033776777915329,0.014939704523888823,0.006888577479215499,0.003896112057210007,0.004235450849289588,0.0036447499890029096,,,,,,,,,
2024-04,0.10012874896662013,0.25692601677802324,0.21892474284087984,0.22397983384607045,0.22992397034708012,0.17705286839145107,0.06907178771328283,0.03640478675105371,0.01646631520457533,0.0,0.0,0.043368072966782766,,,,,,,,,,
2024-05,0.08264940726407331,0.23517715353306198,0.22491492626943352,0.19896799448410846,0.20806476724272147,0.24432730588732457,0.09350325837948444,0.008918840773114478,0.003781054691844043,0.005271235070394341,,,,,,,,,,,,
2024-06,0.1354366926795503,0.21879179645197663,0.23557401391075236,0.19424813834834936,0.1880854294358665,0.13877482667381183,0.09095354523227384,0.038331602862533634,0.010382824798204775,0.006698596644003081,0.010896383874245012,0.0,0.0,0.002232865548001027,0.005582163870002568,0.001563005883600719,0.0,0.004465731096002054,0.004465731096002054,0.006490940148038986,0.006057764231726786,0.004019157986401849
2024-07,0.1404147786685256,0.23656326246078774,0.23082258626699198,0.23202509585221331,0.19202858138724294,0.22438480306727082,0.013067270826071802,0.04548623213663297,0.0,0.013851516207737887,,,,,,,,,,,,
2024-08,0.04537869259793245,0.2431301573667904,0.2519494463020338,0.2201018436148348,0.218623270652474,0.21763244271296667,0.1039817172305899,0.016564925304457193,0.0060431301573667905,0.005368262830148164,0.0,0.0,0.0,0.00751556796220743,0.01840547256050799,0.003067578760084665,0.009202736280253995,,,,,
2024-09,0.07825013592746617,0.23901436667597342,0.22692294504611737,0.24532091127732633,0.19919619109197514,0.1767497905982278,0.1324251909107385,0.018368576508794875,0.02326686357780684,0.010776231551826327,0.0073474306035179494,0.0,0.010592545786738378,0.009796574138023933,0.009796574138023933,0.0,0.0,0.0024491435345059833,,,,
2024-10,0.08896713818613888,0.2476344524331966,0.2622223571348037,0.218805561096608,0.17296033859203302,0.16040624105601858,0.0719941717764807,0.030305461357663852,0.002168237916410092,0.011287846592830938,0.023458166017640784,0.0065047137492302756,0.0,0.01040754199876844,0.016652067198029506,0.007718926982419927,,,,,,
2024-11,0.08183392448305257,0.19405993013350897,0.17369402132550946,0.14179399627189632,0.12779548688309417,0.07154145900267711,0.04626567229558851,0.045186318521238056,0.026218054673601842,0.04848740780191573,0.029244972338605096,0.013201205724829392,0.026853061346686857,0.003151397881315204,0.006302795762630408,0.0074057850210907305,,,,,,
2024-12,0.10774045670227603,0.15381451471176605,0.1676681411462053,0.10948664929198808,0.04639562666626782,0.03189138457741766,0.015382947139347665,0.031229551411723795,0.004561787921731684,0.046272234042155407,0.06543548248385612,0.042611586193487115,0.05735887436013446,0.06361824565601876,0.014956681710595688,0.010843594240181872,,,,,,
2025-09,0.11898656272438199,0.11396040619550724,0.35511334495845726,0.0,0.5423120320032824,0.059493281362190994,0.0,0.0,0.0,0.0,0.0,0.0,0.059493281362190994,,,,,,,,,
2025-10,,,0.1818402230573403,0.23518002182082676,0.23639228997454237,,,,,,,,,,,,,,,,,
2026-01,,,0.1765561549184799,,,,,,,,,,,,,,,,,,,
