Cohort,Months_on_Book,Period_Collections,Cohort_Total_Advance,Payment_MOIC,Cumulative_Collections,Cumulative_MOIC,Net_MOIC
2024-01,1,23498.0,102945.0,0.2282578075671475,23498.0,0.2282578075671475,-0.7717421924328525
2024-01,2,24097.0,102945.0,0.2340764485890524,47595.0,0.4623342561561999,-0.5376657438438002
2024-01,3,39580.0,102945.0,0.384477147991646,87175.0,0.846811404147846,-0.15318859585215405
2024-01,4,12689.0,102945.0,0.12325999320025256,99864.0,0.9700713973480986,-0.029928602651901448
2024-01,5,11843.0,102945.0,0.11504201272524163,111707.0,1.0851134100733402,0.08511341007334017
2024-01,6,4950.0,102945.0,0.048083928311234155,116657.0,1.1331973383845744,0.13319733838457437
2024-01,7,0.0,102945.0,0.0,116657.0,1.1331973383845744,0.13319733838457437
2024-01,8,0.0,102945.0,0.0,116657.0,1.1331973383845744,0.13319733838457437
2024-01,9,2493.0,102945.0,0.024216814804021564,119150.0,1.1574141531885958,0.15741415318859575
2024-02,0,7520.0,136095.0,0.055255520041147727,7520.0,0.055255520041147727,-0.9447444799588522
2024-02,1,31246.0,136095.0,0.22958962489437526,38766.0,0.284845144935523,-0.7151548550644771
2024-02,2,35183.0,136095.0,0.2585179470223006,73949.0,0.5433630919578236,-0.4566369080421764
2024-02,3,28064.0,136095.0,0.20620889819611302,102013.0,0.7495719901539366,-0.2504280098460634
2024-02,4,32951.0,136095.0,0.24211763841434292,134964.0,0.9916896285682795,-0.008310371431720531
2024-02,5,28595.0,136095.0,0.21011058451816747,163559.0,1.201800213086447,0.2018002130864469
2024-02,6,13982.0,136095.0,0.102737058672251,177541.0,1.304537271758698,0.30453727175869805
2024-02,7,0.0,136095.0,0.0,177541.0,1.304537271758698,0.30453727175869805
2024-02,8,3533.0,136095.0,0.02595980748741688,181074.0,1.3304970792461148,0.3304970792461148
2024-03,0,77398.0,795665.0,0.09727460677546455,77398.0,0.09727460677546455,-0.9027253932245355
2024-03,1,183336.0,795665.0,0.23041858068408186,260734.0,0.3276931874595464,-0.6723068125404537
2024-03,2,182006.0,795665.0,0.22874702293050467,442740.0,0.5564402103900511,-0.4435597896099489
2024-03,3,176554.0,795665.0,0.2218948929511792,619294.0,0.7783351033412302,-0.22166489665876976
2024-03,4,158090.0,795665.0,0.1986891468143,777384.0,0.9770242501555303,-0.022975749844469706
2024-03,5,151154.0,795665.0,0.18997191028887786,928538.0,1.1669961604444081,0.16699616044440813
2024-03,6,34894.0,795665.0,0.04385514004009225,963432.0,1.2108513004845003,0.2108513004845003
2024-03,7,40052.0,795665.0,0.05033776777915329,1003484.0,1.2611890682636537,0.26118906826365373
